المدن المدينة,تفاصيل الصفقات الحي,تفاصيل الصفقات المخطط,تفاصيل الصفقات عدد ا…,تفاصيل الصفقات التار…,تفاصيل الصفقات (رقم…,السعر بالريال السعودي,المساحة بالمتر المربع,سعر المتر المربع
جده,حي/الامواج,مخطط/251/ ب,قطعة 368,04/04/2021,12450260,"1,315,000",667,1972
جده,حي/الامواج,مخطط/420/ ج/ س,قطعة 628/ب,15/04/2021,12564871,"700,000",300,2333
جده,حي/الامواج,مخطط/90/ ب/ 99,قطعة 115,04/04/2021,12448847,"500,000",312.5,1600
جده,حي/الامواج,مخطط/90/ ب/ 99,قطعة 115,05/04/2021,12449080,"500,000",312.5,1600
جده,حي/الامواج,مخطط/90/ ب/ 99,قطعة 27,21/04/2021,12620201,"1,300,000",625,2080
جده,حي/الامير فواز الجنو…,مخطط/350/ ج/ س,قطعة 9,26/04/2021,13174388,"6,000,000",1119,5362
جده,حي/الامير فواز بن عب…,مخطط/108/ ب,قطعة 750,14/04/2021,12515806,"1,318,053",900,1465
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 104,19/04/2021,12579009,"950,000",895.5,1061
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 180,12/04/2021,12538858,"700,000",900,778
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 258,12/04/2021,12539109,"650,000",900,722
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 297,13/04/2021,12547722,"700,000",900,778
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 326,10/04/2021,12511105,"560,000",900,622
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 326,20/04/2021,12605201,"715,000",900,794
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 37,08/04/2021,12501091,"750,000",900,833
جده,حي/البحيرات,مخطط/1097/ س/ ت,قطعة 128/1,05/04/2021,12460366,"850,000",1057.5,804
جده,حي/البحيرات,مخطط/78/ ج/ س,قطعة 254,27/04/2021,13190642,"1,000,000",870,1149
جده,حي/البحيرات,مخطط/78/ ج/ س,قطعة 335/2,06/04/2021,12474287,"680,000",449.52,1513
جده,حي/البحيرات,مخطط/78/ ج/ س,قطعة 414,01/04/2021,12439279,"1,200,000",900,1333
جده,حي/البحيرات,مخطط/78/ ج/ س,قطعة 651,18/04/2021,12513938,"140,000",895.5,156
جده,حي/البحيرات,مخطط/78/ ج/ س,قطعة 844,22/04/2021,12629064,"1,200,000",877.5,1368
جده,حي/البحيرات,مخطط/78/ ج/ س/ المعدل,قطعة 775,26/04/2021,13174672,"1,290,000",672,1920
جده,حي/البحيرات,مخطط/99/ ج/ س/ المعدل,قطعة 1073/ج,04/04/2021,12449319,"750,000",625,1200
جده,حي/البحيرات,مخطط/99/ ج/ س/ المعدل,قطعة 1125/2/ج,07/04/2021,12480859,"539,500",539.5,1000
جده,حي/البحيرات,مخطط/99/ ج/ س/ المعدل,قطعة 347/1/ج,13/04/2021,12545909,"550,000",450,1222
جده,حي/البحيرات,مخطط/99/ ج/ س/ المعدل,قطعة 347/2/ج,13/04/2021,12546067,"550,000",450,1222
جده,حي/البحيرات,مخطط/99/ ج/ س/ المعدل,قطعة 356/ج,22/04/2021,12627709,"699,535",895.5,781
جده,حي/398/ 1427/ ع/ 3 ا…,مخطط/أخرى,قطعة 151,27/10/2021,15139657,"60,000",525,114
جده,حي/398/ 1427/ ع/ 3 ا…,مخطط/أخرى,قطعة 52,27/10/2021,15139636,"60,000",568.75,105
جده,حي/398/ 1427/ ع/ 3 ا…,مخطط/أخرى,قطعة 88,27/10/2021,15139651,"60,000",585,103
جده,حي/399/ 1427/ ع/ 3 ا…,مخطط/أخرى,قطعة 520,27/10/2021,15139607,"60,000",547.97,109
جده,حي/399/ 1427/ ع/ 3 ا…,مخطط/أخرى,قطعة 547,27/10/2021,15139552,"60,000",520,115
جده,حي/399/ 1427/ ع/ 3 ا…,مخطط/أخرى,قطعة 615,27/10/2021,15139630,"60,000",566.5,106
