المدن المدينة,تفاصيل الصفقات الحي,تفاصيل الصفقات المخطط,تفاصيل الصفقات عدد ا…,تفاصيل الصفقات التار…,تفاصيل الصفقات (رقم…,السعر بالريال السعودي,المساحة بالمتر المربع,سعر المتر المربع
جده,حي/الامواج,مخطط/90/ ب/ 99,قطعة 27,2021-04-21,12620201,"ر.س.‏ 1,300,000",625.0,2080
جده,حي/الامير فواز الجنو…,مخطط/350/ ج/ س,قطعة 9,2021-04-26,13174388,"ر.س.‏ 6,000,000",1119.0,5362
جده,حي/الامير فواز بن عب…,مخطط/108/ ب,قطعة 750,2021-04-14,12515806,"ر.س.‏ 1,318,053",900.0,1465
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 104,2021-04-19,12579009,"ر.س.‏ 950,000",895.5,1061
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 180,2021-04-12,12538858,"ر.س.‏ 700,000",900.0,778
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 258,2021-04-12,12539109,"ر.س.‏ 650,000",900.0,722
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 297,2021-04-13,12547722,"ر.س.‏ 700,000",900.0,778
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 326,2021-04-10,12511105,"ر.س.‏ 560,000",900.0,622
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 326,2021-04-20,12605201,"ر.س.‏ 715,000",900.0,794
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 37,2021-04-08,12501091,"ر.س.‏ 750,000",900.0,833
جده,حي/البحيرات,مخطط/1097/ س/ ت,قطعة 128/1,2021-04-05,12460366,"ر.س.‏ 850,000",1057.5,804
جده,حي/البحيرات,مخطط/78/ ج/ س,قطعة 254,2021-04-27,13190642,"ر.س.‏ 1,000,000",870.0,1149
جده,حي/البحيرات,مخطط/78/ ج/ س,قطعة 335/2,2021-04-06,12474287,"ر.س.‏ 680,000",449.52,1513
جده,حي/البحيرات,مخطط/78/ ج/ س,قطعة 414,2021-04-01,12439279,"ر.س.‏ 1,200,000",900.0,1333
